オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
Laura Brunetta,らうら相談所,相談所,https://x.com/Laura_B_FFXIV,#らうら相談所,https://www.14-store-log.com/stores/c2bb06f1-40ed-474c-885d-922f41866a0a,Mana,Masamune,ラベンダーベッド 17区,55番地
オーナー：Rhodolite Garnet/店長：Leo Alexiel,コスモカフェ-UNIVERSE-,カフェ・その他,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/f3aa4308-4858-4e35-8c8e-f2609ac8da55,Mana,Masamune,ミストヴィレッジ 20区,トップマスト1号 86号室
Sim Slowlet,ネットカフェ【リスの巣】,カフェ・その他,https://x.com/Sim_Yume_net,#えおネカフェ,https://www.14-store-log.com/stores/f5868239-13c6-4f9d-8e3c-13f22b1946b1,Mana,Masamune,ラベンダーベッド 21区,17番地
Megleas Ragnak,Sun Stone Oven,カフェ・交流店,,#SSOven,https://www.14-store-log.com/stores/5280b93a-f6d4-42f0-b27c-f4e2f7491348,Mana,Titan,ゴブレットビュート 22区,23番地
Taian Stalhaerz,PUB【髭と眼鏡】イクシオン鯖店,BAR,https://x.com/taian_ff14,,https://www.14-store-log.com/stores/a10f7eaa-a5b6-4647-898a-a08ae7c4261d,Mana,Ixion,ゴブレットビュート 14区,13番地
Taian Sthalhaerz,PUB【髭と眼鏡】ゼロムス鯖店,BAR,https://x.com/taian_ff14,,https://www.14-store-log.com/stores/56715ab1-8dcd-4b1d-9e01-8a73b8bfa691,Meteor,Zeromus,ゴブレットビュート 14区,19番地
Ika Kurage,隠れ家「いかだ」,カフェ・占い,https://b-book.run/@kurageika125-ikada?book_board_setting_frame_minutes=30,,https://www.14-store-log.com/stores/4af6500d-8ebd-425b-ab50-752ba92e26e3,Mana,Chocobo,ミストヴィレッジ 28区,トップマスト1号 45号室
Ayaka Yatsurugi,【魚頭楽シリーズ第８弾改】魚頭楽的城「魚騒の客間」,その他・スタジオ,,魚頭楽,https://www.14-store-log.com/stores/206d04f1-ab37-482c-9448-36f778d17cd3,Mana,Asura,ラベンダーベッド 19区,6番地
Ariha Leefing,よっしのおみせ,カフェ,https://x.com/arihaleefing,#よっしのおみせ,https://www.14-store-log.com/stores/e77c3e27-b067-413a-9316-c1a7aa5a8261,Mana,Chocobo,ラベンダーベッド 29区,リリーヒルズ2号 8
オーナー：Leon Smith/店長：Leo Alexiel,座敷茶廊　～灯 AKARI～,カフェ・その他,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/021ed824-1e29-44f8-bad5-81bb6a9119cb,Mana,Titan,ラベンダーベッド 30区,リリーヒルズ1号 89号室
Chloe Sui,月の音,カフェ・BAR,,#CAFE&BAR月の音,https://www.14-store-log.com/stores/12cc4db1-6273-4bc9-ad4d-17c962195ace,Mana,Chocobo,ゴブレットビュート 26区,ナナモ大風車1号  7号室
Iris Lunalock,【雑談交流店】月ウサギ,交流店・カフェ,,#Luna_ff14,https://www.14-store-log.com/stores/8933c046-067f-4df0-962f-8b1ac54238cf,Mana,Pandaemonium,シロガネ 28区,43番地
Hoo,-Honi-,交流店・BAR,https://x.com/honi_s2_?s=21,#Honi,https://www.14-store-log.com/stores/d45d0b56-e5d2-461c-a0d4-98da87a9fdf2,Gaia,Fenrir,ミストヴィレッジ 28区,9番地
Origa,Chatting Cat,BAR,,,https://www.14-store-log.com/stores/fe38289b-4801-499c-9ee4-4d486a42954f,Mana,Masamune,シロガネ 23区,48番地
オーナー：Rick Worker/店長：Leo Alexiel,私立リムサハイスクール,交流店,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/1dc71484-bd4a-497b-a94b-9dc8ec786ada,Mana,Masamune,ミストヴィレッジ 17区,トップマスト1号 78号室
オーナー：Iris Chateaubriand/店長：Leo Alexiel,チルアウトカフェ《Luciole》,カフェ,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/164efa82-e8cf-4838-9983-e228563c7628,Mana,Hades,ゴブレットビュート 8区,18番地
Nem Nyamo,メンズマネキンショップ,マネキンショップ,,,https://www.14-store-log.com/stores/b5e90a26-73e3-4272-9442-e3c7876aae94,Gaia,Ifrit,ゴブレットビュート 18区,35番地 6号室
osusi tabetai,名前の無いBAR,BAR・カフェ,,#名前の無いBAR,https://www.14-store-log.com/stores/3bf3035e-44f0-467c-9160-f176d3033a01,Mana,Pandaemonium,エンピレアム 4区,4番地 4
Stella-sora Staudt,Bar空翠,BAR・クラブ,,#Bar空翠_FF14,https://www.14-store-log.com/stores/6115a403-b92c-4dd6-9c71-beb19c02276c,Elemental,Gungnir,ゴブレットビュート 22区,16番地 basement
オーナー：Law Murkzone/店長：Leo Alexiel,BAR《Rosso》,BAR,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/8d5640ce-3890-49fd-a958-6ea07a894ff8,Mana,Titan,ミストヴィレッジ 16区,トップマスト2号 7号室
Liuu Qalli,チャイナコンセプトカフェ【煌龍園】,カフェ,https://x.com/ll_KohLongEnn,#煌龍園,https://www.14-store-log.com/stores/78288a4c-8bbf-47b9-b260-dba3bf57c2ea,Mana,Anima,エンピレアム 6区,52番地
オーナー：Chaso Chasso/店長：Leo Alexiel,男子限定 雑談BAR《Hangout》,BAR,https://x.com/LeoA_EorzeaShop,#Leo_FF14shop,https://www.14-store-log.com/stores/c57d30bf-baec-4a4d-adc9-964645f55cea,Mana,Titan,ミストヴィレッジ 16区,トップマスト2号 9号室
