オーナー名,店名,種類,リンク,Xタグ,URL（情報元）,DC,サーバー,居住区,番地
pinkiy hyl,L’ArCloset -Salon Ruby Pink,マネキンショップ,https://www.notion.so/L-ArCloset-Salon-Ruby-Pink-2d68cd8aafb5803f8aa6cb1578ee0eac,#らるくろ,https://www.14-store-log.com/stores/8ac58bfc-018a-417e-aa87-caffb412e2bd,Mana,Titan,ゴブレットビュート 15区,50番地
Pinkiy Hyl,L'ArCloset,マネキンショップ,https://x.com/PxU_Larclo,#らるくろ,https://www.14-store-log.com/stores/fdff1c83-91a0-4f56-91b7-a962dce48af2,Mana,Pandaemonium,ラベンダーベッド 13区,21番地
Alishan Forestcat,#交流店グランジール,交流店・BAR,,＃交流店グランジール,https://www.14-store-log.com/stores/8f32f42c-8dc8-4f5e-8dc9-59df71d65549,Gaia,Alexander,ラベンダーベッド 4区,5番地
Kotarou Asou,麻生小太郎秘密倶楽部≪Assort≫,BAR,,,https://www.14-store-log.com/stores/b161c043-12f1-4750-bad9-1f9cdad224fe,Mana,Asura,シロガネ 9区,39番地
Kureha Sakuragi,Cafe&Bar【Ailes】,BAR・カフェ,,,https://www.14-store-log.com/stores/847220cc-f151-4341-9739-e9c80471e8cb,Mana,Anima,ゴブレットビュート 20区,41番地
Dobby Ga,BAR_KOUSUI,BAR,https://x.com/dobby_masamune?s=21&t=rRpLv5iQxuW1JDnabTGhpg,#BAR_KOUSUI_FF14,https://www.14-store-log.com/stores/23ac3c91-599c-4bbf-bc45-30bc05194e91,Mana,Masamune,ゴブレットビュート 24区,10番地
Papa Nightwish,Bar 《 oRisyn 》,BAR・クラブ,,#oRisyn,https://www.14-store-log.com/stores/409f3219-6ed7-4dd5-a2c0-37aaec485441,Meteor,Belias,エンピレアム 23区,17番地
Theodore Ghostwyre,NascostA,カフェ・相談所,,#NascostA_FF14,https://www.14-store-log.com/stores/d592f114-254d-4f8e-a049-027c223691bb,Meteor,Ramuh,ゴブレットビュート 8区,41番地
Caffeine Coffee's,Caffe's cafe,カフェ,,#Caffes_cafe,https://www.14-store-log.com/stores/48587c60-e5d8-45bd-bdb1-52ecabb4790f,Gaia,Ridill,ラベンダーベッド 16区,46番地
kiri blahima,マネキンショップ「Melty Tiara」,マネキンショップ,,#メルティアFF14,https://www.14-store-log.com/stores/cdc78744-62a7-44f4-9ab5-e4fd6bf0a1bf,Meteor,Valefor,ゴブレットビュート 17区,12番地
Little Garden,魚頭楽系列　theater cafe & Bar「Jupiter」,アミューズメント・カフェ,,,https://www.14-store-log.com/stores/5e55a7a9-b91f-499e-ade0-2dae47cd72c6,Mana,Chocobo,エンピレアム 16区,7番地 個室１号室
Shion Edakumi,Cafe Once,カフェ・BAR,,#ff14_once_shion,https://www.14-store-log.com/stores/46421cba-4362-4bca-8d9f-2cc23837a373,Mana,Hades,ミストヴィレッジ 17区,24番地
エルシー・マチルダ,蝶,対話店・BAR,,#butterfly_ff14,https://www.14-store-log.com/stores/961ffd99-2473-4dd8-add2-48c5893aeb05,Meteor,Yojimbo,ゴブレットビュート 3区,29番地
Cafe Cigarette,煙草の喫茶店,カフェ・スタジオ,,#煙草の喫茶店,https://www.14-store-log.com/stores/515d5cd7-7cb1-412c-9a50-984896e92597,Mana,Hades,ラベンダーベッド 13区,45番地
Suzu Chan,【Cafe & Bar Suzu】夜の部,カフェ・BAR,https://x.com/FF14_cafesuzu,#FF14カフェすず,https://www.14-store-log.com/stores/4c6e83d7-0002-4262-82f3-c8c3ca668135,Mana,Asura,ゴブレットビュート 21区,4番地
Suzu Chan,カフェ万時屋,カフェ,,,https://www.14-store-log.com/stores/c9cf2d90-77f5-4175-99a9-3efe89f2caca,Mana,Asura,ミストヴィレッジ 21区,トップマスト1号 トップマスト10号室
Ta-Naho,ミラプリショップ【DEHILO】,マネキンショップ・販売店,,#Atomos_DEHILO,https://www.14-store-log.com/stores/1a39e768-e92f-418b-9d44-1617b00a12dc,Elemental,Atomos,ゴブレットビュート 18区,49番地
Kaddish Leavitt,隠れ家系雑談BAR Danger Close,BAR,,#DangerClose_ff14,https://www.14-store-log.com/stores/3985daa8-2ff4-40a5-aaba-6b95f8f6a659,Mana,Masamune,ゴブレットビュート 22区,10番地 B1
Landroval Journey,【Weaver】,マネキンショップ,,#とある裁縫師　#マネキンショップ,https://www.14-store-log.com/stores/31312337-5904-44cb-bb47-bfe4b03c7351,Gaia,Ultima,ラベンダーベッド 2区,57番地
Tyapuka Nekoko,和風カフェ～篝火～,カフェ,,#和風カフェ篝火,https://www.14-store-log.com/stores/01161cef-1427-4f15-b0d4-6e0d2952658b,Mana,Chocobo,ミストヴィレッジ 7区,トップマスト1号 18番
Brana Grande,Snack_DOLLHOUSE,BAR・その他,https://x.com/bg_cs_lt,#Snack_DOLEHOUSE,https://www.14-store-log.com/stores/37fa9db5-8c75-4e8f-b925-dba025dcc998,Mana,Asura,エンピレアム 20区,イングルサイド1号 16番
Noah(ノア),Bar Nest,BAR,https://x.com/Chichiri__Noah,#FF14_BarNest,https://www.14-store-log.com/stores/44bef7d2-de62-4260-9373-0d2175a2aa92,Mana,Chocobo,ミストヴィレッジ 27区,58番地
Io Jupiter,IORIum-イオリウム-,その他,,,https://www.14-store-log.com/stores/c535c4c8-2bbb-4ef1-8666-b502425b6421,Meteor,Shinryu,ゴブレットビュート 22区,21番地
Del P-,Self,交流店・スタジオ,,#でるハウス,https://www.14-store-log.com/stores/2859e44b-2430-490a-a057-bc6df62db0cb,Mana,Masamune,ミストヴィレッジ 2区,35番地
Natsume Tamaki,武具工房ビエルゴ,アトリエ・販売店,https://ffxiv.link/azul,#武具工房ビエルゴ,https://www.14-store-log.com/stores/075700bf-6b1d-403d-8726-51a81a39c80c,Meteor,Yojimbo,ラベンダーベッド 29区,26番地
Maryam Roel,新式マネキンショップ,マネキンショップ,,,https://www.14-store-log.com/stores/3af0430b-06a8-4cd5-b4bd-f258416fa8a1,Elemental,Garuda,エンピレアム 19区,イングルサイド2号 7番
Ase_Roro,#R's CAFE,カフェ・対話店,,#R'sCAFE,https://www.14-store-log.com/stores/d83e02f2-e779-4c7c-ae62-141a24390b42,Elemental,Kujata,ゴブレットビュート 10区,33番地 地下
Empty Drops,LOVE DROPS,交流店・その他,https://x.com/FF14_drops,#FF14_LD,https://www.14-store-log.com/stores/5e9359ca-a4d1-467a-8dd8-3574b838852c,Mana,Masamune,ラベンダーベッド 22区,14番地
Empty Drops,Leaf Drops,その他,https://x.com/LeafDrops_FF14,#FF14_LD,https://www.14-store-log.com/stores/f55a5309-8d49-4541-9ab2-3fe0fb493277,Mana,Masamune,ラベンダーベッド 3区,リリーヒルズ1号 33号室
leoo hiko,カフェマネキンレオン,マネキンショップ・カフェ,,ミラプリ　オシャレ服　マネキンショップ　カフェ　食事販売,https://www.14-store-log.com/stores/f9f2ca08-962c-47d3-acb0-e4f73b04b4d3,Gaia,Fenrir,ラベンダーベッド 5区,14番地
Turm Strom,Casino&Bar〈Luck&Roll〉,カジノ・BAR,,,https://www.14-store-log.com/stores/40e1cc8a-3846-4fe2-bd1b-26787e09a728,Gaia,Durandal,シロガネ 16区,3番地
Mikoto Kamuy,Klein Spiel,BAR・カフェ,,,https://www.14-store-log.com/stores/be39dd95-5eda-439e-8844-fad2a14fd8a8,Mana,Anima,ミストヴィレッジ 23区,49番地
Ukata Frieren,■□■　#U's BAR　■□■,BAR・カフェ,,,https://www.14-store-log.com/stores/253ec099-ff10-4eb8-ba3c-8c16f6f20c34,Elemental,Kujata,ミストヴィレッジ 7区,33番地 地下1階
Mao Idea,交流店-Starhaven-,交流店,,#Starhaven,https://www.14-store-log.com/stores/6debdbb3-2d4e-4b24-85c8-c84bc7165e92,Mana,Anima,エンピレアム 14区,14番地
Popoto Toto,PALACE -Meteor-,カフェ,https://x.com/PALACE_ff14,#PALACE_Meteor,https://www.14-store-log.com/stores/4f5df377-14fb-468a-9d11-cea63909838f,Meteor,Belias,ラベンダーベッド 21区,17番地
Toto Berry,ぱれす茶屋,居酒屋,https://x.com/PALACE_ff14,#ぱれす茶屋,https://www.14-store-log.com/stores/edfe435a-9439-4ebc-ba57-6acfd8d8d91c,Mana,Masamune,シロガネ 28区,紅梅御殿2号 7号室
佐倉,Bar Kirschblüte,BAR・対話店,https://x.com/bar_kirschblute/,#Kirschblüte14,https://www.14-store-log.com/stores/f35cdd23-a877-4851-85bd-c331c3d0ed23,Gaia,Tiamat,ゴブレットビュート 30区,ナナモ大風車1号
ととべりのおともだち,Bakery Cafe PaPAN,カフェ・その他,https://x.com/PALACE_ff14,#CafePaPAN,https://www.14-store-log.com/stores/62283368-a4c5-4770-8806-fba9bbfe6ac2,Mana,Masamune,ゴブレットビュート 6区,41番地
Toto Berry,Lavender PALACE,カフェ,https://x.com/PALACE_ff14,#ラベンダーパレス,https://www.14-store-log.com/stores/08b0825d-e56e-402e-bb2a-a91cfcaa7405,Mana,Masamune,ラベンダーベッド 20区,11番地
Hajime Kiki,【魚頭楽シリーズ第1弾】新！江戸花街組・なまぞ魚頭楽,居酒屋・スタジオ,https://x.com/lite170370/status/1886820825866887511,＃魚頭楽,https://www.14-store-log.com/stores/7d3aff03-a2d1-460e-a4c6-cfb68773af5f,Mana,Chocobo,エンピレアム 16区,4番地
Mio Gardenia,Cafe&Bar ミモザ,カフェ・BAR,,#cafeBarミモザ_ff14,https://www.14-store-log.com/stores/0d7bcc6a-bf4c-45a7-b896-432899a831da,Mana,Masamune,ゴブレットビュート 6区,42番地
Mio Gardenia,居酒屋 金木犀,居酒屋,,#居酒屋金木犀_ff14,https://www.14-store-log.com/stores/969e5149-0498-487d-9a0a-19cfe5a21ba6,Mana,Masamune,ラベンダーベッド 14区,54番地
Andrei Angstrom,Bar らいおんボーイ,BAR,,,https://www.14-store-log.com/stores/7013fdaa-8eb0-4429-8817-7fd3b23f1ed4,Mana,Anima,ゴブレットビュート 16区,13番地
Chiaki Hatune,スナック『umbrella』,BAR・居酒屋,,#umbrella_FF_14,https://www.14-store-log.com/stores/d7345e30-87db-4746-822b-a6ab6eda3600,Mana,Anima,ゴブレットビュート 27区,42番地
Bubi Shatrah,BAR-FREEDOM,BAR・交流店,,#BAR-FREEDOM,https://www.14-store-log.com/stores/ebd8d76d-98d4-4061-ab42-25ce3d2aad34,Mana,Masamune,ミストヴィレッジ 30区,トップマスト2号 62号室
Noah(ノア),Cafe.Nest,カフェ,https://x.com/Chichiri__Noah,,https://www.14-store-log.com/stores/89c71df2-2f44-43ba-ab3b-c763b9c2617b,Mana,Chocobo,ミストヴィレッジ 27区,トップマスト2号 8号室
Del P-,Self3,カフェ,,#でるハウス,https://www.14-store-log.com/stores/54dd3257-7fd5-4c96-be02-5903c247704f,Mana,Asura,エンピレアム 13区,28番地
Hima Wali,名前のないBar,BAR,,#名前のないBar_ff14,https://www.14-store-log.com/stores/d96509dc-cf33-4ce5-8b1e-49c6c3835c02,Mana,Anima,ミストヴィレッジ 4区,49番地 個室3
ひい坊,Theater&LiveBAR ORDER,BAR,,,https://www.14-store-log.com/stores/ef3d603c-68c3-4f9f-975e-359b6ef50144,Gaia,Durandal,ラベンダーベッド 16区,51番地
Yumil Dulcis,逸品堂(旧:新式フル禁断工房「もうマテ」),マネキンショップ・銭湯,,#逸品堂,https://www.14-store-log.com/stores/c0e4a365-2ebf-499f-806f-d61607027066,Mana,Titan,ゴブレットビュート 4区,11番地 1～6号室+地下
Mikoto Kamuy,Klein Spiel,BAR,,,https://www.14-store-log.com/stores/34a187fc-4adb-41ff-87f4-4a5113fa646d,Mana,Anima,ミストヴィレッジ 23区,49番地
Kikuo·Kikuri,スーパー銭湯風雑談処癒し亭,BAR,,,https://www.14-store-log.com/stores/58187f7b-3a98-4142-87f7-5a5acbe03555,Mana,Masamune,シロガネ 24区,49番地
Bubi Shatrah,有料対話店「奏」,対話店,https://twitter.com/kanade_meteo,#奏のメロディー,https://www.14-store-log.com/stores/306d2555-647d-4a0c-9c69-4d753f3ec19c,Meteor,Belias,シロガネ 14区,15番地
Sylphid_Elemental,Café&Bar　えれめんたる,カフェ・BAR,,#Café&Bar「えれめんたる」,https://www.14-store-log.com/stores/a6e516b7-13b8-4476-accb-a08dd1086784,Gaia,Durandal,シロガネ 13区,9番地
Sophie Cosmos,個室型有料対話店🌸桜牡丹,対話店,https://x.com/SophieRP_ff14,#桜牡丹,https://www.14-store-log.com/stores/ee923611-0ec4-40c6-be8e-aa888fb3f97e,Mana,Pandaemonium,ミストヴィレッジ 5区,24番地
Huurin Natsume,深い夜の図書館,交流店,https://x.com/Huurin3ff14,#深い夜の図書館,https://www.14-store-log.com/stores/36abea3c-847e-4ce3-b467-d47a76081182,Gaia,Ifrit,ラベンダーベッド 23区,52番地
Masyu Folgwyn,Bar_Bullet,BAR・スタジオ,,#Bar_Bullet,https://www.14-store-log.com/stores/1eb5f9b9-a029-4d44-ab99-15fcf48d6be3,Elemental,Garuda,ラベンダーベッド 28区,44番地
Saterah Astoltia,miracle multiverse,BAR・カフェ,https://x.com/miracle_multive?t=D-1aB3fDiTKAY1wZbGNSJA&s=09,#miracle_multiverse,https://www.14-store-log.com/stores/1f56f43f-38b9-4e5d-ae3c-6877f1a63671,Meteor,Belias,ミストヴィレッジ 20区,60番地
如月なーにゃ,ワクワクチェリー,交流店・クラブ,,#kisaff14,https://www.14-store-log.com/stores/d3992e15-dfbe-4936-9403-bf604d633d05,Mana,Ixion,ゴブレットビュート 19区,1番地
Ponyo　Gakeppchi,崖茶ー古民家喫茶ー,カフェ・ライブハウス,https://x.com/PonyoGakeff14,,https://www.14-store-log.com/stores/d84e3ce7-0bf9-479a-8f17-c7a7e38e6eaf,Gaia,Alexander,ミストヴィレッジ 24区,24番地
サーディア,砂原の雫亭,BAR・その他,,,https://www.14-store-log.com/stores/4ab2609a-9eac-4ff7-bf44-e156453ddeb2,Meteor,Valefor,ゴブレットビュート 8区,36番地
Misty Francesca,BarFrancesca,BAR・カフェ,,,https://www.14-store-log.com/stores/3fd32d85-3eb2-4583-946e-560efdf7548e,Mana,Ixion,ミストヴィレッジ 30区,トップマスト2号 38
Edda Yukkuri,もてなしカフェ,カフェ・交流店,,もてなしカフェ,https://www.14-store-log.com/stores/4c67c222-0e8d-494c-a6d8-15b16add4c89,Elemental,Garuda,ミストヴィレッジ 1区,52番地 18
Neco Coco,マネキンshop-CoCo-,マネキンショップ,,,https://www.14-store-log.com/stores/b346fbb7-3954-4f08-b72f-fc59ff040d2d,Mana,Masamune,ミストヴィレッジ 25区,トップマスト1号 21号室
Tepp Maxim,暇つぶし処　-おちゃっぷりん-,カフェ・BAR,https://tepp06203.wixsite.com/ochaplin-2nd ,#おちゃっぷりん,https://www.14-store-log.com/stores/a80db726-723a-4904-9dae-522f43f2a3ec,Gaia,Bahamut,ミストヴィレッジ 13区,11番地
Matsurika Nekokai,喫茶ひぐらし,カフェ,,#喫茶ひぐらし,https://www.14-store-log.com/stores/339be616-ff81-4770-8490-78395907cc44,Elemental,Garuda,ラベンダーベッド 28区,リリーヒルズ2号 12号室
Cafe Lapin blanc,白うさぎの隠れ家Lapinblanc,カフェ・BAR,https://x.com/CafeLapinbl4nc,＃Lapinblanc_FFXIV,https://www.14-store-log.com/stores/4f33c87d-b7b1-4014-95ab-ed6c817ecd59,Mana,Asura,ミストヴィレッジ 22区,14番地
Ponyo　,隠れ家Barー崖ー,BAR・アトリエ,,,https://www.14-store-log.com/stores/eb3e0dc3-5ce1-4aef-a98d-669be00cae90,Gaia,Alexander,ラベンダーベッド 20区,18番地 1号室
あんどーなつ,カフェ・あんどーなつ,カフェ,,＃カフェ・あんどーなつ,https://www.14-store-log.com/stores/f1864971-2f53-44e7-9d39-4c0860e86f6d,Mana,Asura,ラベンダーベッド 4区,1番地
Karumi Min,カフェ相談室 さざめきのサロン,カフェ・相談所,,,https://www.14-store-log.com/stores/7c113d0c-8bc4-4a8a-b898-a63c706f0fce,Mana,Anima,ラベンダーベッド 17区,リリーヒルズ1号 32号室
Marihser Hakuyou（部屋主）,幻想宿屋 モーグリ天国,その他,,#モーグリ天国,https://www.14-store-log.com/stores/c1f3b6fd-49c8-43a6-9a26-f404b65ed959,Gaia,Fenrir,ラベンダーベッド 12区,リリーヒルズ1号 34号室
Mai Sakuramiya,猫のあくび,カフェ,,,https://www.14-store-log.com/stores/d24ead27-f980-4065-b88c-b873c960311a,Mana,Ixion,エンピレアム 21区,17番地
Shazel　Vanilla,Insomnia,BAR,,,https://www.14-store-log.com/stores/ad76a473-db8a-4dfc-bc6a-e4b1d6c7be2d,Mana,Chocobo,ミストヴィレッジ 15区,14番地
にぎやかしミコッテ かなでちゃん,#TalkBarしりうす【エオクラ×対話店体験】,対話店・クラブ,https://talkbar-group-ff14.studio.site/,#TalkBarしりうす,https://www.14-store-log.com/stores/f66a34be-9105-4086-ae16-f79b3670399b,Gaia,Durandal,ゴブレットビュート 30区,16番地
にぎやかしミコッテ かなでちゃん,#TalkBarかなで 【Bar×対話体験（無料）】,BAR・対話店,https://x.com/Kanade_Y_FF14,,https://www.14-store-log.com/stores/f2ae4360-20d7-4443-ba2d-fd7d7c09152b,Gaia,Durandal,シロガネ 22区,42番地 旧かるてっと跡地
にぎやかしミコッテ かなでちゃん,#TalkBarかるてっと 【有料対話店】,対話店・BAR,https://talkbar-group-ff14.studio.site/,#TalkBarかるてっと,https://www.14-store-log.com/stores/b2feedf0-71a5-411f-8e76-01f5c5ee23ad,Gaia,Durandal,シロガネ 4区,43番地
あんどーなつ,マナ画廊,画廊,,,https://www.14-store-log.com/stores/8dc50d3d-1b0a-45e0-9a51-31a8fda38cf3,Mana,Hades,ゴブレットビュート 16区,13番地
Shazel Vanilla,insomnia３号店,BAR,,#FF14_insomnia,https://www.14-store-log.com/stores/ece7aa01-904f-4533-9a27-ed142dbf7640,Meteor,Shinryu,ゴブレットビュート 25区,12番地
ふちがみ,Bar【From the Ashes】,BAR,https://x.com/XIVFtA,#XIVFtA,https://www.14-store-log.com/stores/9eac6fcd-8dd5-4a91-8314-375144e4ceec,Elemental,Carbuncle,エンピレアム 18区,イングルサイド2号 2号室
Marc（@MarcShagall） & Silco（@Sylvie_XIV） Shagall,Shagall Coffee,カフェ,,,https://www.14-store-log.com/stores/76dd3687-8099-436e-bafd-41624e3cce91,Gaia,Bahamut,ラベンダーベッド 18区,51番地
An Donuts',画廊bar,BAR・画廊,,#マナ画廊,https://www.14-store-log.com/stores/72578829-9572-4541-b495-a3fd9f0d7bc3,Mana,Hades,ゴブレットビュート 16区,ナナモ大風車1号 ６号室
Leuco Feel,Berry tart✨カンカンガーデン✨,スタジオ・その他,,#Feel工房,https://www.14-store-log.com/stores/7215b932-0c4f-4203-80d2-c5917f0aba9c,Meteor,Mandragora,ゴブレットビュート 27区,44番地
Alishan Forestcat,＃雑談・交流店【ちび☆ぐら】,交流店,,＃交流店ちびぐら,https://www.14-store-log.com/stores/10f3c31a-28d4-4f11-96cb-279006a77af0,Gaia,Alexander,ラベンダーベッド 4区,リリーヒルズ1号 45
Ki Krone,リゾート風BARケイ,BAR,https://x.com/FF14KiKrone,#BARケイ,https://www.14-store-log.com/stores/74f544f8-715b-457d-8340-2e2881c3d7de,Mana,Anima,ミストヴィレッジ 30区,トップマスト1号 66号室
SIM SIM,マネキンショップ「MUSEUM 」,マネキンショップ・画廊,https://x.com/simsim26012697?s=21&t=LYJMdgY3ulW2bLPgQ-3x9g,#FF14MUSEUMFENRIR,https://www.14-store-log.com/stores/7d60d8f9-9c38-4f8b-92f4-c20679fe1225,Gaia,Fenrir,ゴブレットビュート 15区,11番地
Fontana Cavaliere,Fon's Bar,BAR,,,https://www.14-store-log.com/stores/b67554a5-d0d6-46c9-b0af-f3a34aa1c8d2,Elemental,Garuda,エンピレアム 19区,31番地
Okame Natto,おかめの限界集落,その他・スタジオ,,#おかめの限界集落,https://www.14-store-log.com/stores/870b2b60-efbb-4cad-8a8f-0405e96d6ad0,Mana,Titan,ゴブレットビュート 22区,43番地
Liz Bles,人見知りカフェ,カフェ,,#人見知りカフェ,https://www.14-store-log.com/stores/16016851-940a-4548-b3da-3193fd00dfb1,Mana,Masamune,シロガネ 13区,紅梅御殿1号 24号室
Iwa Nashi,喫茶『月見草』,カフェ・BAR,,#Cafe_月見草,https://www.14-store-log.com/stores/c5a80e9b-ac67-4d1c-b5f1-fa82cac5de4f,Mana,Masamune,ラベンダーベッド 8区,8番地
Auri Lyhty, Deserted　,交流店・BAR,https://x.com/Deserted_FF14,#the_Deserted,https://www.14-store-log.com/stores/f570571a-5c0c-46eb-a332-926d83e0a6ce,Mana,Titan,ラベンダーベッド 27区,39番地
Arice Caroll,ガールズバー『Minuet』,BAR,,#Minuet_FF14,https://www.14-store-log.com/stores/54fc172e-f8de-451f-aeb2-59cde0dd1a26,Mana,Hades,ミストヴィレッジ 11区,27番地
Hijr Alshahr,Alshahr's cafe&bar,カフェ・BAR,https://jp.finalfantasyxiv.com/lodestone/character/29244453/blog/5430565/,#Alshahrscb,https://www.14-store-log.com/stores/b7927919-602b-462a-8656-eb8e3d90d2dd,Meteor,Belias,ゴブレットビュート 15区,ナナモ大風車2号 5号室
Sai Riverside,River Side Cafe,カフェ・BAR,https://ffxiv.link/0128227,,https://www.14-store-log.com/stores/90063534-27ca-4c0d-b0fd-51a42d863213,Mana,Chocobo,ミストヴィレッジ 7区,60番地
Leuco Feel,占喫茶「Berry tart」,カフェ・占い,,#Feel工房,https://www.14-store-log.com/stores/a9bb7bde-dbd2-4193-a063-9d36c36299d8,Gaia,Durandal,ミストヴィレッジ 17区,7番地
Nepia Nepi ,ネピアの箱,その他,https://x.com/ne_pip,＃ネピアの箱,https://www.14-store-log.com/stores/bcb982f1-bd22-421a-b450-0ce10263e59d,Mana,Pandaemonium,ゴブレットビュート 6区,6番地
Leuco Feel,占喫茶「Berry tart 2号店」,占い・カフェ,,#Feel工房,https://www.14-store-log.com/stores/0f066884-6db6-4c1c-9a93-eee4cb0752ae,Meteor,Mandragora,ゴブレットビュート 21区,4番地
Kanae_Yozakura,路地裏レストラン［キッチンかなえ］,カフェ・居酒屋,,#キッチンかなえ,https://www.14-store-log.com/stores/d0110507-f172-446e-8b7f-aa2f141b2da5,Gaia,Tiamat,ゴブレットビュート 11区,32番地
おでで,交流店【Lycoris】,交流店,https://x.com/YUC_e?t=jCotCMgcIol2Rue8c2MRNQ&s=09,#FF14Lycoris,https://www.14-store-log.com/stores/c1e60e98-0156-461e-b981-8486f789736e,Mana,Hades,エンピレアム 26区,イングルサイド1号 2
Yukiya Nagi,BAR Refuzen（レフュゼン）,BAR・交流店,,,https://www.14-store-log.com/stores/8793d58c-d1e7-4c68-8e69-5517760b66df,Gaia,Fenrir,ミストヴィレッジ 30区,トップマスト2号 棟57号室
募集主Mary Giglio（部屋主はAonori Oishii),眠り猫,その他,,,https://www.14-store-log.com/stores/6925dc19-d9d8-4326-bf9e-848df776cd97,Mana,Pandaemonium,ラベンダーベッド 24区,リリーヒルズ2号 14
Okogama Shinomiya,ArabianCafe-らんぷ。,カフェ・相談所,https://croissantkaoru.wixsite.com/okotail,,https://www.14-store-log.com/stores/95fd536b-23ab-4c36-9d51-13350bc810d8,Gaia,Alexander,ゴブレットビュート 30区,10番地
Lenard Gillian,森の譜面屋《翠雨堂》,販売店,https://jp.finalfantasyxiv.com/lodestone/character/22211831/blog/4639416/,#翠雨堂,https://www.14-store-log.com/stores/14853c80-3353-43bd-aa73-ef6e0acc07d6,Mana,Masamune,ゴブレットビュート 14区,6番地
A- Yukikuma,個人協会「ポーラスター」,対話店・相談所,,,https://www.14-store-log.com/stores/fb854f61-fd1c-42c9-a119-179fb89e56bf,Elemental,Kujata,エンピレアム 8区,20番地
Elle Lovecraft,レストランぎんねこ,カフェ・スタジオ,https://x.com/silvercat_works,#レストランぎんねこ,https://www.14-store-log.com/stores/67c8a320-a9bd-48c6-bd7a-68e2fc7535a0,Elemental,Aegis,エンピレアム 7区,5番地
Shion Alma,Soiree-ソワレ-,交流店,https://x.com/FF14_soiree,#FF14_ソワレ,https://www.14-store-log.com/stores/1f0a888c-bb7a-4cf3-a7ce-972456ed3629,Mana,Hades,ミストヴィレッジ 8区,4番地
Shion Alma,ねこっと,カフェ・交流店,https://x.com/nekotto_ff14,#FF14_ねこっと,https://www.14-store-log.com/stores/ba35a47a-a00e-48b7-8495-f3131af589e0,Meteor,Shinryu,ラベンダーベッド 18区,7番地
Seiver Nana,ななカフェ,カフェ・ライブハウス,,#FF14_Nanacafe,https://www.14-store-log.com/stores/13282c8e-2dd2-4bd4-a97a-cb21844d0cb1,Elemental,Kujata,ラベンダーベッド 22区,13番地
Little Garden,photoSTUDIO GENSOUKAN　第２studioゴシック,スタジオ・BAR,,＃FF14_GENSOUKAN,https://www.14-store-log.com/stores/82e0cccf-4c22-44af-9ed7-66983684e28a,Mana,Chocobo,ラベンダーベッド 13区,リリーヒルズ2号 17
Renge Ariadne,かごいりむすめ,BAR,,,https://www.14-store-log.com/stores/729820da-5863-4f7b-8ab2-6912dcef544b,Gaia,Tiamat,エンピレアム 10区,59番地
maruko domon,ヒーリングカフェ癒しの園ウサギ邸,カフェ・相談所,,#ウサギ邸,https://www.14-store-log.com/stores/bcd9c3d0-e6c0-4bb4-b394-688923834bcd,Meteor,Yojimbo,ラベンダーベッド 29区,37番地
Shion Alma,ねこのひざ,対話店・その他,https://x.com/nekohiza_ff14,#ねこのひざ,https://www.14-store-log.com/stores/f47f20d0-1217-4afa-b502-32cbedc6a94c,Meteor,Shinryu,ミストヴィレッジ 27区,トップマスト1号
Elelielly Salvatore,CAFE THE MU,カフェ・スタジオ,https://x.com/ff14osyaberisu?s=21&t=bFvy-_uLmxV9sdq8vdEjnw,#お喋リス邸_FF14,https://www.14-store-log.com/stores/7cca86c3-bdf8-465b-b3d9-b65a417f4ce4,Mana,Pandaemonium,ミストヴィレッジ 12区,60番地
Shazel Vanilla,Insomnia2号店,BAR,,#FF14_insomnia,https://www.14-store-log.com/stores/bbf1abb1-1ff9-4311-8da2-0663daf54152,Mana,Pandaemonium,ラベンダーベッド 26区,57番地
Grey Fox,交流店《FOXHOUND》,交流店,https://x.com/home,,https://www.14-store-log.com/stores/85de2a2d-04cd-4da2-922c-d56dadc838ba,Mana,Chocobo,ミストヴィレッジ 13区,41番地
Nito Vanitas,Haulia,BAR,,#Haulia,https://www.14-store-log.com/stores/4300c9b1-1280-4cc4-b833-2f8b39d242d0,Gaia,Tiamat,エンピレアム 24区,45番地
Ren Bright,縁結び,交流店,,#交流店縁結び,https://www.14-store-log.com/stores/1691ce0c-cd52-4adf-88a6-25efc095293f,Mana,Masamune,ゴブレットビュート 28区,41番地
Grace Rain,【翠-sui-】,交流店・その他,,,https://www.14-store-log.com/stores/d43e550b-ede5-4254-b2b5-2c97143a1bb4,Gaia,Fenrir,ラベンダーベッド 20区,19番地
白猫,白猫家具工房 ,販売店・マネキンショップ,https://jp.finalfantasyxiv.com/lodestone/character/38113842/blog/5119402/,#白猫家具工房,https://www.14-store-log.com/stores/ca2d9229-9c7c-42d3-b2b2-c612a0a08873,Gaia,Ridill,ゴブレットビュート 28区,25番地
Del P-,Self4,BAR,,#でるハウス,https://www.14-store-log.com/stores/ebdc8be6-d71f-46b1-b28a-1df42ff2d198,Mana,Hades,ミストヴィレッジ 1区,5番地
Del P-,Self2,BAR・スタジオ,,#でるハウス,https://www.14-store-log.com/stores/35d1e5b5-64eb-4a63-9bd0-c6b2eb3c2cde,Mana,Pandaemonium,ゴブレットビュート 17区,35番地
Jin Jaeger,交流店「ヴェルトラ」,交流店・BAR,,,https://www.14-store-log.com/stores/b6116e40-42a2-4d94-bb09-219f9fcf9edd,Mana,Asura,エンピレアム 7区,イングルサイド2号 2号室
